timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,IdleTime,Connect
1711791354060,495,HTTP Request,200,OK,Thread Group 1-71,text,true,,27999,185,54,54,https://api.github.com/users,67.json,441,0,129
1711791354079,500,HTTP Request,200,OK,Thread Group 1-73,text,true,,27996,185,55,55,https://api.github.com/users,68.json,444,0,117
1711791354051,539,HTTP Request,200,OK,Thread Group 1-70,text,true,,27999,185,56,56,https://api.github.com/users,70.json,474,0,140
1711791354101,489,HTTP Request,200,OK,Thread Group 1-75,text,true,,27999,185,56,56,https://api.github.com/users,69.json,434,0,110
1711791354089,537,HTTP Request,200,OK,Thread Group 1-74,text,true,,27999,185,57,57,https://api.github.com/users,71.json,473,0,140
1711791354131,500,HTTP Request,200,OK,Thread Group 1-78,text,true,,27997,185,57,57,https://api.github.com/users,72.json,448,0,117
1711791354141,490,HTTP Request,200,OK,Thread Group 1-79,text,true,,27999,185,57,57,https://api.github.com/users,73.json,438,0,107
1711791354151,482,HTTP Request,200,OK,Thread Group 1-80,text,true,,28000,185,57,57,https://api.github.com/users,74.json,428,0,120
1711791354069,568,HTTP Request,200,OK,Thread Group 1-72,text,true,,27999,185,54,54,https://api.github.com/users,75.json,506,0,127
1711791354160,484,HTTP Request,200,OK,Thread Group 1-81,text,true,,27998,185,54,54,https://api.github.com/users,76.json,431,0,119
1711791354121,549,HTTP Request,200,OK,Thread Group 1-77,text,true,,27997,185,56,56,https://api.github.com/users,77.json,490,0,145
1711791354001,669,HTTP Request,200,OK,Thread Group 1-65,text,true,,27996,185,56,56,https://api.github.com/users,78.json,467,0,125
1711791354021,680,HTTP Request,200,OK,Thread Group 1-67,text,true,,27996,185,57,57,https://api.github.com/users,79.json,472,0,136
1711791354201,500,HTTP Request,200,OK,Thread Group 1-85,text,true,,27997,185,57,57,https://api.github.com/users,80.json,446,0,128
1711791354230,475,HTTP Request,200,OK,Thread Group 1-88,text,true,,28000,185,55,55,https://api.github.com/users,81.json,425,0,111
1711791354241,492,HTTP Request,200,OK,Thread Group 1-89,text,true,,28000,185,57,57,https://api.github.com/users,82.json,439,0,115
1711791354179,554,HTTP Request,200,OK,Thread Group 1-83,text,true,,28000,185,57,57,https://api.github.com/users,83.json,491,0,128
